Titre de l’action d’adaptation,Exemple,Aléa climatique visé,Catégorie ressources,Catégorie entreprise,Prix,Prix crédit,Crédit normalisé,Temps,Score,Véhicules,Machines
Instrumenter les points chauds et les dépendances critiques des data centers,"Installer des capteurs de température et d’humidité dans les zones sensibles du data center : près des serveurs, des batteries, des équipements électriques et du système de refroidissement. Si la chaleur devient trop importante, une alerte est envoyée et certaines machines peuvent être ralenties ou déplacées vers un autre site avant qu’une panne ne survienne.",Vague de chaleur/ Chaleur extrême/ Modif T° air,Technique,CAPEX majoritaire > court terme,30 000 €,2,1,Court terme,7,Non,Oui
Prépositionner des barrières anti-crue et obturateurs pour les locaux techniques,"Prévoir des barrières amovibles contre l’eau devant les portes, quais de livraison et passages de câbles les plus exposés. Le matériel est stocké directement sur le site et les équipes s’entraînent à l’installer avant les périodes de fortes pluies.",Fortes pluies/ Inondation pluie/ Inondation fluviale/ Inondation nappe,Technique,CAPEX majoritaire > court terme,50 000 €,3,2,Court terme,0,Non,Oui
Constituer des kits matériels de rétablissement rapide pour réseau et calcul,"Constituer sur chaque site un stock de pièces courantes permettant de réparer rapidement les serveurs et le réseau : modules fibre, alimentations, ventilateurs, disques, batteries ou petits équipements réseau. Les pièces sont déjà préparées et configurées pour pouvoir être remplacées immédiatement en cas de panne.",Tous aléas climatiques,Technique,CAPEX majoritaire > court terme,50 000 €,3,2,Court terme,0,Oui,Oui
Protéger les armoires télécoms urbaines contre l’eau et les ruissellements,Surélever les armoires qui distribuent Internet dans la ville lorsqu’elles sont situées dans des zones où l’eau peut s’accumuler. Protéger également les entrées de câbles et aménager les abords pour que l’eau s’écoule sans pénétrer dans les équipements.,Fortes pluies/ Inondation pluie/ Inondation fluviale/ Inondation nappe,Technique,CAPEX majoritaire > court terme,80 000 €,5,2,Court terme,0,Oui,Oui
Redimensionner le refroidissement pour les canicules futures et les racks haute densité,"Dimensionner le refroidissement des data centers pour les canicules futures, et pas seulement pour les températures observées aujourd’hui. Pour les serveurs très puissants qui produisent beaucoup de chaleur, prévoir des systèmes de refroidissement plus efficaces, par exemple avec un liquide circulant au plus près des équipements.",Vague de chaleur/ Chaleur extrême/ Modif T° air,Technique,CAPEX majoritaire > long terme,250 000 €,10,3,Moyen terme,0,Non,Oui
Réduire la dépendance du refroidissement à l’eau potable,"Réduire la quantité d’eau potable nécessaire pour refroidir les data centers. Cela peut passer par une meilleure surveillance de la consommation, la réutilisation d’une partie de l’eau ou des systèmes fonctionnant davantage en circuit fermé, afin de continuer à refroidir les serveurs même en période de restriction d’eau.",Stress Hydrique/ Vague de chaleur/ Chaleur extrême,Technique,OPEX majoritaire > eau,80 000 €,5,2,Moyen terme,8,Non,Oui
Sécuriser l’alimentation électrique des nœuds critiques et des data centers,"Vérifier régulièrement que les batteries et groupes électrogènes peuvent réellement alimenter les équipements prioritaires pendant une coupure, y compris en période de forte chaleur. Prévoir aussi la possibilité de brancher rapidement un groupe électrogène mobile et, pour les sites les plus critiques, disposer de deux sources d’électricité différentes.",Tempêtes/ Vague de chaleur/ Chaleur extrême/ Fortes pluies/ Inondation pluie,Technique,CAPEX majoritaire > long terme,250 000 €,10,3,Moyen terme,0,Oui,Oui
Qualifier les composants pour des enveloppes climatiques plus sévères,"Lors de l’achat de serveurs, batteries, équipements réseau ou matériels installés à l’extérieur, vérifier les températures et niveaux d’humidité qu’ils peuvent supporter. Si un équipement doit fonctionner dans une zone très chaude ou exposée, choisir un modèle plus robuste plutôt que de découvrir ses limites pendant une canicule.",Vague de chaleur/ Chaleur extrême/ Modif T° air/ Vague de gel,Technique,CAPEX majoritaire > court terme,50 000 €,3,2,Moyen terme,0,Non,Oui
"Surélever durablement les locaux électriques, batteries et salles IT exposés aux crues","Dans les nouveaux data centers ou lors de rénovations importantes, installer les serveurs, batteries et principaux équipements électriques à un niveau suffisamment élevé pour rester hors d’eau en cas d’inondation. Éviter également qu’une seule entrée d’eau puisse atteindre plusieurs locaux critiques à la fois.",Inondation fluviale/ Inondation pluie/ Inondation nappe/ Fortes pluies,Technique,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,0,Non,Oui
"Créer des routes réseau physiquement diversifiées entre data centers, clients et Internet","Faire en sorte que les deux connexions Internet de secours n’empruntent pas exactement le même trajet physique. Par exemple, deux fibres peuvent passer par des rues différentes et, pour certains sites essentiels, une connexion radio ou satellite peut prendre le relais si les fibres sont coupées.",Tempêtes/ Fortes pluies/ Inondation pluie/ Inondation fluviale,Technique,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,0,Oui,Oui
