Titre,Exemple,Cat,Tag,Lien,Credit,Terme,Aléa,Enjeu
AHAHDispositifs énergétiques de secours pour assurer la continuité des activités du campus et des laboratoires,(ex : groupe électrogène pour maintenir les serveurs),Ressources Techniques,0,https://www.himoinsa.com/groupes-electrogenes-et-climats-extremes-comment-configurer-votre-equipement-pour-qu-il-maintienne-ses-performances-opt/livre-blanc/liste-des-actualit-s/nouvelles/112/fra.html,3,court,vague de chaleur/inondation,système de refroidissement
Développer l'autoconsommation énergétique du campus et réduire la dépendance au réseau électrique,(ex : ombrières photovoltaïques sur les parkings),Ressources Techniques,0,,,,,
Installation d'un système de climatisation généralisée,(ex : climatisation centralisée dans les amphithéâtres),Ressources Techniques,9,,,,,
Réduction de la dépendance du campus aux énergies fossiles,(ex : réduire progressivement les usages gaz au profit d'équipements électriques performants),Ressources Techniques,0,,,,,
Déplacements des activités pédagogiques / administrative ou de recherche vers des zones plus sûres,(ex : déplacement du campus en Bretagne),Ressources Techniques,9,,,,,
Amélioration de la résilience des bâtiments du campus,(ex : installation dans le bâtiment Carnot de brise-soleil),Ressources Techniques,0,,,,,
Raccordement des bâtiments au réseau de chaleur urbain,(ex : racordement des bâtiments ENPC au réseau de chaleur de Champs-sur-Marne),Ressources Techniques,8,,,,,
Les principaux fournisseurs des laboratoires ont mis en œuvre des solutions techniques visant l'amélioration de la robustesse de leurs sites,(ex : demander aux fournisseurs des laboratoires un plan de continuité d'activité climatique),Ressources Techniques,5,,,,,
Utilisation raisonnée de la climatisation avec priorisation des espaces critiques (amphithéâtre / laboratoires / ...),(ex : réserver le refroidissement aux amphithéâtres),Ressources Techniques,8,,,,,
Mise en place de dispositifs de secours et d'urgence en cas d'aléas,(ex : système de SMS d'alerte),Ressources Techniques,0,,,,,
Diagnostic des risques climatiques du campus régulièrement actualisé avec une prise en compte des mises à jour scientifiques,(ex : réaliser tous les 2 ans une cartographie de chaleur / ruissellement / sécheresse / ...),Ressources Techniques,4,,,,,
Evaluation régulière des équipements critiques du campus et des laboratoires pour s'assurer qu'ils sont dimensionnés aux conditions climatiques,(ex : tester la résistance des serveurs à des températures extrêmes),Ressources Techniques,1,,,,,
