Titre de l’action d’adaptation,Exemple,Aléa climatique visé,Catégorie ressources,Catégorie entreprise,Prix,Prix crédit,Crédit normalisé,Temps,Score,Véhicules,Machines
Dimensionner les moyens humains et financiers de l’adaptation,"Chiffrage d’un programme d’adaptation par site, avec besoins en chef de projet, prestataires, travaux et maintenance sur trois ans. L’entreprise sait quels moyens mobiliser avant de lancer les actions.",Tous aléas climatiques,Financières,Capital humain,15 000 €,1,"0,5",Moyen terme,2,Non,Non
Inscrire progressivement les actions d’adaptation dans les budgets,"Création d’une enveloppe annuelle dédiée aux travaux d’adaptation, alimentée progressivement dans le plan pluriannuel d’investissement. Les protections contre la chaleur, l’eau et les tempêtes ne dépendent plus d’arbitrages ponctuels.",Tous aléas climatiques,Financières,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,2,Non,Non
Réviser les contrats d’assurance à l’aune des sinistres climatiques,"Relecture des contrats multirisques avec l’assureur, en ajoutant un inventaire des bâtiments exposés, franchises, exclusions et délais d’indemnisation. L’entreprise sait à l’avance quels dommages climatiques seront couverts après un sinistre.",Tous aléas climatiques,Financières,Capital humain,25 000 €,1,1,Moyen terme,1,Non,Non
Reconnaître les investissements de prévention dans le dialogue assurantiel,"Transmission à l’assureur des factures de clapets anti-retour, protections anti-grêle et travaux de désimperméabilisation réalisés. Ces preuves facilitent la discussion sur les primes et montrent que l’entreprise réduit concrètement son exposition.",Tous aléas climatiques,Financières,Capital humain,25 000 €,1,1,Moyen terme,3,Non,Non
Outiller la prise de décision pour un plan d’investissement global,"Construction d’une matrice croisant niveau de risque, coût des travaux, urgence et bénéfices pour les usagers. Les investissements sont classés entre actions immédiates, travaux lourds et mesures à programmer.",Tous aléas climatiques,Financières,Capital humain,50 000 €,2,2,Moyen terme,7,Non,Non
Reconduire les petites subventions vertes pour les diagnostics de vulnérabilité,"Attribution d’une aide forfaitaire aux petites structures pour financer un premier diagnostic chaleur, eau ou inondation. Le coût d’entrée baisse et davantage d’acteurs évaluent leurs vulnérabilités.",Tous aléas climatiques,Financières,Section par défaut,30 000 €,1,1,Moyen terme,4,Non,Non
Utiliser l’évaluation du risque climatique en prospection foncière,"Analyse d’un terrain pressenti avec cartes de crue, accès de secours, disponibilité en eau et exposition aux fortes chaleurs. Un site moins risqué peut être privilégié avant même l’achat ou la signature du bail.",Tous aléas climatiques,Financières,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,4,Non,Non
Mobiliser les aides et subventions pour financer l’adaptation,"Montage d’un dossier combinant aides de l’agence de l’eau, fonds vert et subvention régionale pour désimperméabiliser une cour. Le reste à charge diminue et le projet peut être lancé plus vite.",Fortes pluies/ Inondation pluie/ Inondation fluviale/ Stress Hydrique/ Chaleur extrême/ Vague de chaleur/ RGA/ Tempêtes/ Modif T° air,Financières,Capital humain,50 000 €,2,2,Court terme,0,Non,Non
Mobiliser les financements et accompagnements disponibles,"Recensement des dispositifs publics, appels à projets et accompagnements techniques disponibles pour les bâtiments et espaces extérieurs. Les porteurs de projet savent vers qui se tourner selon leur besoin.",Tous aléas climatiques,Financières,Capital humain,15 000 €,1,"0,5",Moyen terme,0,Non,Non
Soutenir les initiatives citoyennes de résilience,"Création d’un petit fonds local finançant jardins de pluie, ateliers de quartier, ombrières citoyennes et kits d’alerte. Les habitants peuvent tester rapidement des solutions de résilience.",Tous aléas climatiques,Financières,OPEX majoritaire > main d’œuvre,15 000 €,1,"0,5",Moyen terme,3,Non,Non
