Titre de l’action d’adaptation,Exemple,Aléa climatique visé,Catégorie ressources,Catégorie entreprise,Prix,Prix crédit,Crédit normalisé,Temps,Score,Véhicules,Machines
Concevoir les trames vertes et bleues comme infrastructures de rafraîchissement,"Création d’un maillage continu entre une cour plantée, une allée ombragée et un bassin paysager. Les salariés peuvent circuler à l’ombre entre les bâtiments et les eaux de pluie alimentent les plantations en période chaude.",Vague de chaleur/ Chaleur extrême/ Modif T° air/ Fortes pluies/ Inondation pluie/ Tempêtes/ Stress Hydrique/ Inondation fluviale,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Désimperméabiliser et renaturer les sols,"Remplacement d’une zone bitumée peu utilisée par des pavés drainants, des fosses d’arbres et une prairie rustique. Lors des pluies intenses, l’eau s’infiltre sur place au lieu de ruisseler vers les accès.",Fortes pluies/ Inondation pluie/ Inondation fluviale/ Inondation nappe/ Vague de chaleur/ Chaleur extrême/ Stress Hydrique,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Gérer durablement les eaux pluviales,"Mise en place de noues paysagères, de grilles avaloirs sécurisées et d’une cuve de récupération raccordée aux descentes de toiture. Les eaux de pluie sont ralenties, stockées puis réutilisées pour l’arrosage des espaces verts.",Fortes pluies/ Inondation pluie/ Inondation fluviale/ Inondation nappe/ Stress Hydrique/ Vague de chaleur/ Chaleur extrême,Technique,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Préserver et restaurer les continuités écologiques,"Maintien d’une haie ancienne, création d’une bande herbacée non fauchée et ouverture d’un passage végétalisé entre deux parcelles. Les insectes, oiseaux et petits mammifères peuvent traverser le site malgré les clôtures.",Vague de chaleur/ Chaleur extrême/ Stress Hydrique/ Fortes pluies/ Inondation pluie/ Inondation fluviale/ Modif T° air,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Libre évolution des friches en espaces boisés,"Arrêt de la tonte régulière sur une friche en limite de parcelle et suivi annuel de la repousse naturelle. Les ronces, jeunes arbres et herbes hautes forment progressivement un îlot boisé qui rafraîchit les abords.",Vague de chaleur/ Chaleur extrême/ Fortes pluies/ Inondation pluie/ Stress Hydrique/ Modif T° air,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Conservation des habitats existants pour la biodiversité,"Conservation d’une mare existante, d’un alignement de vieux arbres et d’un talus refuge pendant un projet d’aménagement. Les zones de nidification et d’abri restent fonctionnelles tout au long des travaux.",Vague de chaleur/ Chaleur extrême/ Stress Hydrique/ Tempêtes,Solutions fondées sur la nature,OPEX majoritaire > main d’œuvre,250 000 €,10,3,Moyen terme,6,Non,Non
Application de la séquence ERC,"Modification du plan d’un projet pour éviter une zone humide, réduction de l’emprise des travaux et restauration d’une prairie équivalente à proximité. Les impacts non évitables sont compensés par une action écologique suivie dans le temps.",Tous aléas climatiques,Organisationnelles,Section par défaut,50 000 €,2,2,Long terme,8,Non,Non
Diversification des espèces plantées,"Association de chênes, érables champêtres, fruitiers rustiques, arbustes mellifères et couvre-sols adaptés au sol local. Si une espèce souffre de la sécheresse ou d’un parasite, les autres maintiennent l’ombrage et la biodiversité.",Modif T° air/ Vague de chaleur/ Chaleur extrême/ Stress Hydrique/ Vague de gel/ RGA,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Préservation des connectivités écologiques,Déplacement d’une clôture pour laisser un couloir végétalisé entre deux haies et pose de passages bas pour la petite faune. Les continuités écologiques sont maintenues même après la construction du site.,Fortes pluies/ Inondation pluie/ Modif T° air/ Stress Hydrique/ Vague de chaleur/ Tempêtes,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Diagnostic écologique quatre saisons,"Réalisation de quatre passages terrain au printemps, en été, en automne et en hiver pour recenser flore, oiseaux, amphibiens et chauves-souris. Le calendrier de travaux est ensuite ajusté pour éviter les périodes de reproduction.",Tous aléas climatiques,Solutions fondées sur la nature,CAPEX majoritaire > court terme,80 000 €,3,2,Court terme,4,Non,Non
Mobilisation précoce d’un écologue,"Intégration d’un écologue dès l’esquisse afin de repérer les arbres à conserver, les habitats sensibles et les périodes de travaux à éviter. Les choix techniques sont corrigés avant que le projet ne soit figé.",Fortes pluies/ Inondation pluie/ Modif T° air/ Stress Hydrique/ Vague de chaleur/ Tempêtes,Organisationnelles,OPEX majoritaire > main d’œuvre,15 000 €,1,"0,5",Court terme,6,Non,Non
Mobilisation d’un paysagiste,"Intervention d’un paysagiste pour placer les zones d’ombre, choisir les strates végétales et organiser les cheminements extérieurs. Les espaces deviennent à la fois plus frais, plus lisibles et plus agréables à utiliser.",Modif T° air/ Vague de chaleur/ Chaleur extrême/ Stress Hydrique/ Tempêtes,Humaines,OPEX majoritaire > main d’œuvre,15 000 €,1,"0,5",Court terme,0,Non,Non
Création et diversification d’espaces naturels,"Création d’une mare peu profonde, d’une prairie fleurie, d’un bosquet et d’une haie fruitière sur des espaces libres. Chaque milieu accueille des espèces différentes et renforce la résilience écologique du site.",Vague de chaleur/ Chaleur extrême/ Fortes pluies/ Inondation pluie/ Stress Hydrique,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Choix d’essences locales et diversifiées,"Plantation d’essences locales comme charme, aubépine, érable champêtre et cornouiller sanguin, mélangées plutôt qu’alignées en monoculture. Les végétaux résistent mieux aux sécheresses, maladies et épisodes de vent.",Modif T° air/ Vague de chaleur/ Chaleur extrême/ Stress Hydrique/ Vague de gel,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Adapter la végétation et les espaces verts,"Remplacement progressif de massifs gourmands en eau par des arbustes résistants à la sécheresse, du paillage et des zones d’ombre. L’entretien diminue tout en améliorant le confort thermique des abords.",Vague de chaleur/ Chaleur extrême/ Modif T° air/ Vague de gel/ RGA/ Stress Hydrique/ Tempêtes/ Inondation fluviale/ Inondation pluie/ Inondation nappe,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Création de passages pour la faune,"Pose d’un passage à hérissons sous une clôture, d’une rampe de sortie dans un bassin et d’un petit pont végétalisé au-dessus d’un fossé. Les animaux circulent sans être bloqués par les aménagements.",Modif T° air/ Fortes pluies/ Inondation pluie,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Développer des toitures végétalisées,"Installation d’une toiture végétalisée extensive avec substrat léger, sédums et dispositif de rétention d’eau. Le toit retient une partie des pluies d’orage et limite la surchauffe du dernier niveau.",Vague de chaleur/ Chaleur extrême/ Fortes pluies/ Inondation pluie,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Organiser une plantation citoyenne d’arbres et d’arbustes locaux,"Organisation d’une matinée de plantation avec riverains et salariés pour installer des arbustes locaux, pailler les pieds et expliquer l’entretien. Les participants s’approprient les nouveaux espaces et limitent les dégradations.",Vague de chaleur/ Chaleur extrême/ Modif T° air/ Tempêtes/ Stress Hydrique/ Fortes pluies/ Inondation pluie,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,3,Non,Non
Orienter le bâtiment et les espaces,Positionnement des façades les plus vitrées au nord et création de circulations extérieures ombragées côté sud-ouest. Le bâtiment reçoit moins de soleil direct aux heures les plus chaudes et reste plus confortable.,Tempêtes/ Vague de chaleur/ Chaleur extrême/ Modif T° air/ RGA/ Stress Hydrique/ Inondation fluviale/ Inondation pluie/ Inondation nappe,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,0,Non,Non
Végétaliser la façade,"Pose de câbles supports sur une façade exposée avec plantes grimpantes caduques comme vigne vierge ou houblon. En été, les feuilles protègent le mur du soleil, puis laissent passer la lumière en hiver.",Vague de chaleur/ Chaleur extrême/ Modif T° air/ Stress Hydrique/ Inondation fluviale/ Inondation pluie/ Inondation nappe/ Fortes pluies,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Jardins de pluie et parcelles éponges,Création de jardins de pluie au pied des descentes d’eaux pluviales avec plantes tolérant alternance d’humidité et sécheresse. Les flaques disparaissent plus vite après les orages et les plantations restent alimentées naturellement.,Fortes pluies/ Inondation pluie/ Inondation fluviale/ Inondation nappe/ Stress Hydrique,Technique,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,0,Non,Non
Noues à biefs indépendants en pente,Aménagement de noues compartimentées par petits seuils sur une voie en pente. L’eau est retenue par paliers successifs au lieu de descendre d’un seul coup vers le point bas.,Fortes pluies/ Inondation pluie/ Inondation fluviale,Technique,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Conservation des eaux en surface,"Transformation d’un fossé bétonné en dépression végétalisée à ciel ouvert, sans évacuation immédiate vers le réseau. L’eau reste visible, ralentit et s’infiltre progressivement après la pluie.",Fortes pluies/ Inondation pluie/ Inondation fluviale/ Stress Hydrique,Technique,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,0,Non,Non
Restaurer le fonctionnement naturel des cours d’eau,"Retrait d’un enrochement trop rigide, reméandrage léger du lit et restauration d’une ripisylve avec saules et aulnes. Le cours d’eau retrouve de l’espace pour déborder sans aggraver les dégâts en aval.",Fortes pluies/ Inondation fluviale/ Inondation pluie/ Inondation nappe/ Stress Hydrique/ Tempêtes/ Submersion marine/ Vague de chaleur/ Chaleur extrême,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Réduire les consommations d’eau,"Installation de mousseurs, suivi mensuel des compteurs et arrosage uniquement au goutte-à-goutte tôt le matin. Les consommations diminuent sans dégrader l’usage quotidien du bâtiment ni la santé des plantations.",Stress Hydrique,Technique,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,0,Non,Non
Phasage du chantier selon les rythmes biologiques,Planification des terrassements hors période de nidification et suspension des interventions près d’une mare pendant la reproduction des amphibiens. Le chantier avance sans détruire les espèces présentes aux périodes sensibles.,Modif T° air/ Fortes pluies/ Vague de chaleur/ Tempêtes,Solutions fondées sur la nature,CAPEX majoritaire > court terme,80 000 €,3,2,Court terme,0,Non,Non
Désimperméabiliser des berges,Retrait d’un revêtement imperméable en bord de rivière et remplacement par une berge en pente douce végétalisée. Les crues peuvent s’étaler localement et l’eau s’infiltre davantage dans le sol.,Modif T° air/ Vague de chaleur/ Fortes pluies/ Inondation pluie/ Inondation fluviale/ Inondation nappe,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Protection de la végétation et des arbres remarquables,"Mise en place de barrières autour des arbres conservés, interdiction de stockage au pied des troncs et suivi des racines pendant les travaux. Les sujets remarquables ne sont pas affaiblis par le chantier.",Tempêtes/ Vague de chaleur/ Stress Hydrique/ Modif T° air,Technique,OPEX majoritaire > main d’œuvre,250 000 €,10,3,Moyen terme,6,Non,Non
Protection des sols pendant le chantier,"Création de pistes temporaires, pose de plaques de roulage et balisage des zones interdites aux engins. Les sols vivants ne sont pas compactés partout et retrouvent plus facilement leur capacité d’infiltration.",Fortes pluies/ Inondation pluie/ Inondation fluviale/ Stress Hydrique,Technique,OPEX majoritaire > main d’œuvre,50 000 €,2,2,Long terme,6,Non,Non
