Titre de l’action d’adaptation,Exemple,Aléa climatique visé,Catégorie ressources,Catégorie entreprise,Prix,Prix crédit,Crédit normalisé,Temps,Score,Véhicules,Machines
Mettre en place des outils de prévention et de surveillance,"Installation de capteurs de niveau d’eau, alertes météo paramétrées et ronde préventive avant orage. Les équipes sont prévenues assez tôt pour fermer les accès sensibles ou protéger le matériel.",Inondation nappe/ Inondation pluie/ Fortes pluies/ Inondation fluviale/ RGA/ Stress Hydrique/ Chaleur extrême/ Tempêtes/ Vague de chaleur,Technique,CAPEX majoritaire > court terme,50 000 €,2,2,Court terme,7,Non,Oui
Gérer le patrimoine existant de façon intégrée,"Plan de gestion croisant état des bâtiments, voiries, réseaux, espaces verts et usages pour prioriser les rénovations. Le patrimoine est adapté de manière cohérente et non ouvrage par ouvrage.",Tous aléas climatiques,Technique,OPEX majoritaire > main d’œuvre,50 000 €,2,2,Moyen terme,0,Non,Non
Tester l’analyse de vulnérabilité climatique sur pilotes,"Test de la méthode sur trois sites pilotes exposés à la chaleur, aux pluies intenses et au retrait-gonflement avant généralisation au patrimoine complet.",RGA/ Fortes pluies/ Inondation pluie/ Chaleur extrême/ Tempêtes,Technique,OPEX majoritaire > main d’œuvre,50 000 €,2,2,Moyen terme,4,Non,Non
Renforcer la solidité des infrastructures critiques,"Renforcement d’un poste électrique, d’un pont ou d’un centre de secours avec protections contre l’eau, le vent et la chaleur. Les services essentiels restent disponibles pendant les épisodes extrêmes.",Fortes pluies/ Inondation fluviale/ Inondation pluie/ RGA/ Tempêtes/ Vague de gel/ Chaleur extrême,Technique,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,0,Non,Non
Intégrer l’adaptation aux constructions neuves et rénovations lourdes,"Intégration de protections solaires, matériaux résistants à l’eau et espaces refuges dans les projets neufs ou les rénovations lourdes. Les bâtiments sont adaptés dès la conception au climat futur.",Vague de chaleur/ Chaleur extrême/ Fortes pluies/ Tempêtes/ RGA,Technique,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,0,Non,Non
Protéger les réseaux,"Protection des réseaux électriques, d’eau et de télécommunication par clapets anti-retour, gaines étanches et rehaussement des points sensibles. Les services indispensables sont moins exposés aux dégâts d’eau.",Vague de chaleur/ Chaleur extrême/ Modif T° air/ RGA/ Stress Hydrique/ Tempêtes/ Inondation fluviale/ Inondation pluie/ Inondation nappe/Submersion marine/ Fortes pluies,Technique,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,0,Non,Non
Réaliser un dispositif de drainage,Pose de drains périphériques et exutoires contrôlés autour d’un bâtiment exposé aux eaux stagnantes. L’eau est évacuée avant d’endommager les fondations ou les locaux.,RGA/ Fortes pluies/ Stress Hydrique/ Inondation pluie,Technique,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,0,Non,Oui
Intégrer le risque dans le dimensionnement des systèmes,"Dimensionnement d’un réseau d’eaux pluviales, d’une toiture ou d’un accès selon les pluies et chaleurs futures plutôt que les seules données historiques. Le système reste fonctionnel pendant des événements plus intenses.",Fortes pluies/ Inondation fluviale/ Inondation pluie/ RGA/ Chaleur extrême/ Tempêtes/ Vague de gel,Technique,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,4,Non,Non
Analyser systématiquement l’exposition des actifs immobiliers,"Croisement systématique du portefeuille immobilier avec les cartes d’inondation, chaleur, argiles et tempêtes avant achat ou rénovation. Les actifs les plus vulnérables sont traités avant engagement financier majeur.",Inondation fluviale/ Inondation pluie/ Fortes pluies/ Tempêtes/ Vague de chaleur/ Chaleur extrême/ RGA,Technique,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,4,Non,Non
Analyser les facteurs de prédisposition du site,"Repérage des points bas, locaux techniques en sous-sol, surfaces vitrées exposées et accès uniques du site. Ces caractéristiques expliquent pourquoi un même aléa peut provoquer plus de dégâts ici qu’ailleurs.",Inondation nappe/ Inondation pluie/ RGA/ Chaleur extrême/ Tempêtes,Technique,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,4,Non,Non
Créer un outil interne de diagnostic de résilience des bâtiments,"Développement d’un questionnaire interne notant chaque bâtiment sur exposition, sensibilité, protections existantes et continuité d’activité. Les équipes immobilières repèrent rapidement les sites nécessitant un diagnostic approfondi.",Inondation fluviale/ Inondation pluie/ RGA/ Vague de chaleur/ Chaleur extrême/ Vague de gel/ Fortes pluies/ Inondation nappe/ Modif T° air/ Stress Hydrique/ Tempêtes,Technique,Section par défaut,250 000 €,10,3,Long terme,7,Non,Non
Surveiller l’état physique des bâtiments et zones de rétention,"Inspection semestrielle des fissures, descentes d’eau, bassins de rétention et joints de façade, avec photos géolocalisées. Les signes de retrait-gonflement des argiles ou de mauvais écoulement sont traités avant sinistre.",RGA/ Fortes pluies/ Inondation pluie/ Inondation nappe/ Modif T° air,Technique,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,7,Non,Non
Réaliser des visites terrain pour fiabiliser les préconisations,"Visite des zones techniques, accès livraison, parkings, toitures et points bas avec l’exploitant du site. Les préconisations tiennent compte des contraintes visibles et pas seulement des cartes de risque.",Tous aléas climatiques,Humaines,OPEX majoritaire > main d’œuvre,30 000 €,1,1,Court terme,0,Non,Non
Organiser des chantiers collectifs d’intérêt général,"Organisation d’un chantier participatif pour planter une haie, désimperméabiliser une cour ou aménager une zone d’ombre. Les habitants contribuent directement à une amélioration visible.",Tous aléas climatiques,Humaines,Capital humain,30 000 €,1,1,Court terme,3,Non,Non
Organiser une concertation citoyenne dédiée à la résilience,"Organisation d’une concertation avec habitants, commerçants et associations sur les priorités de fraîcheur, eau et continuité de services. Les projets retenus reflètent les besoins vécus localement.",Tous aléas climatiques,Humaines,Capital humain,30 000 €,1,1,Court terme,3,Non,Non
Former le personnel aux premiers secours,"Formation du personnel d’accueil, d’animation et d’entretien aux gestes de premiers secours et à l’alerte des secours. Les premières minutes d’un incident sont mieux prises en charge.",Inondation fluviale/ Fortes pluies/ Tempêtes/ Vents violents/ Ouragans,Humaines,Capital humain,50 000 €,2,2,Court terme,10,Non,Non
Renforcement des solidarités et des réseaux d’entraide,"Création d’un réseau de volontaires capables d’aider les personnes isolées, relayer les alertes et vérifier les bâtiments sensibles pendant un épisode extrême.",Tous aléas climatiques,Humaines,Capital humain,15 000 €,6,"0,5",Moyen terme,3,Non,Non
