Titre de l’action d’adaptation,Exemple,Aléa climatique visé,Catégorie ressources,Catégorie entreprise,Prix,Prix crédit,Crédit normalisé,Temps,Score,Véhicules,Machines
Éviter les constructions dans les zones exposées,Refus d’un permis dans une zone de débordement connue et orientation du projet vers une parcelle moins exposée. Les futurs occupants ne sont pas installés dans un secteur dangereux.,Inondation fluviale/ Inondation nappe/ Inondation pluie/ RGA/ Tempêtes,Technique,OPEX majoritaire > main d’œuvre,250 000 €,10,3,Long terme,8,Non,Non
Maintenir des stocks de matériaux essentiels et de ressources énergétiques,"Constitution d’un stock tampon de granulats, emballages, combustibles ou consommables critiques, avec seuils de réapprovisionnement. L’activité peut continuer quelques jours lorsque les routes ou fournisseurs sont touchés par un aléa.",Tous risques climatiques extrêmes/ Tempêtes/ Fortes pluies/ Inondation fluviale/ Inondation pluie/ Chaleur extrême/ Vague de gel,Technique,OPEX majoritaire > énergie,50 000 €,2,2,Moyen terme,5,Non,Non
Utiliser matériaux biosourcés et recyclables,"Choix de panneaux bois, isolants en fibre végétale et revêtements démontables afin de limiter les émissions du chantier et faciliter le réemploi lors d’une future rénovation.",Modif T° air/ Chaleur extrême,Technique,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Mettre en place des outils de prévention et de surveillance,"Installation de capteurs de niveau d’eau, alertes météo paramétrées et ronde préventive avant orage. Les équipes sont prévenues assez tôt pour fermer les accès sensibles ou protéger le matériel.",Inondation nappe/ Inondation pluie/ Fortes pluies/ Inondation fluviale/ RGA/ Stress Hydrique/ Chaleur extrême/ Tempêtes/ Vague de chaleur,Technique,CAPEX majoritaire > court terme,50 000 €,2,2,Court terme,7,Non,Oui
Tester l’analyse de vulnérabilité climatique sur pilotes,"Test de la méthode sur trois sites pilotes exposés à la chaleur, aux pluies intenses et au retrait-gonflement avant généralisation au patrimoine complet.",RGA/ Fortes pluies/ Inondation pluie/ Chaleur extrême/ Tempêtes,Technique,OPEX majoritaire > main d’œuvre,50 000 €,2,2,Moyen terme,4,Non,Non
Renforcer la solidité des infrastructures critiques,"Renforcement d’un poste électrique, d’un pont ou d’un centre de secours avec protections contre l’eau, le vent et la chaleur. Les services essentiels restent disponibles pendant les épisodes extrêmes.",Fortes pluies/ Inondation fluviale/ Inondation pluie/ RGA/ Tempêtes/ Vague de gel/ Chaleur extrême,Technique,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,0,Non,Non
Intégrer l’adaptation aux constructions neuves et rénovations lourdes,"Intégration de protections solaires, matériaux résistants à l’eau et espaces refuges dans les projets neufs ou les rénovations lourdes. Les bâtiments sont adaptés dès la conception au climat futur.",Vague de chaleur/ Chaleur extrême/ Fortes pluies/ Tempêtes/ RGA,Technique,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,0,Non,Non
Protéger les réseaux,"Protection des réseaux électriques, d’eau et de télécommunication par clapets anti-retour, gaines étanches et rehaussement des points sensibles. Les services indispensables sont moins exposés aux dégâts d’eau.",Vague de chaleur/ Chaleur extrême/ Modif T° air/ RGA/ Stress Hydrique/ Tempêtes/ Inondation fluviale/ Inondation pluie/ Inondation nappe/Submersion marine/ Fortes pluies,Technique,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,0,Non,Non
Intégrer le risque dans le dimensionnement des systèmes,"Dimensionnement d’un réseau d’eaux pluviales, d’une toiture ou d’un accès selon les pluies et chaleurs futures plutôt que les seules données historiques. Le système reste fonctionnel pendant des événements plus intenses.",Fortes pluies/ Inondation fluviale/ Inondation pluie/ RGA/ Chaleur extrême/ Tempêtes/ Vague de gel,Technique,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,4,Non,Non
Créer un outil interne de diagnostic de résilience des bâtiments,"Développement d’un questionnaire interne notant chaque bâtiment sur exposition, sensibilité, protections existantes et continuité d’activité. Les équipes immobilières repèrent rapidement les sites nécessitant un diagnostic approfondi.",Inondation fluviale/ Inondation pluie/ RGA/ Vague de chaleur/ Chaleur extrême/ Vague de gel/ Fortes pluies/ Inondation nappe/ Modif T° air/ Stress Hydrique/ Tempêtes,Technique,Section par défaut,250 000 €,10,3,Long terme,7,Non,Non
Surveiller l’état physique des bâtiments et zones de rétention,"Inspection semestrielle des fissures, descentes d’eau, bassins de rétention et joints de façade, avec photos géolocalisées. Les signes de retrait-gonflement des argiles ou de mauvais écoulement sont traités avant sinistre.",RGA/ Fortes pluies/ Inondation pluie/ Inondation nappe/ Modif T° air,Technique,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,7,Non,Non
Élaborer un cahier des charges de construction résilient,"Ajout d’exigences de surélévation des équipements, de protections solaires et de gestion des eaux pluviales dans le cahier des charges travaux. Les nouveaux bâtiments intègrent la résilience climatique dès la conception.",Tous aléas climatiques,Technique,Capital humain,250 000 €,10,3,Long terme,0,Non,Non
Diagnostic écologique quatre saisons,"Réalisation de quatre passages terrain au printemps, en été, en automne et en hiver pour recenser flore, oiseaux, amphibiens et chauves-souris. Le calendrier de travaux est ensuite ajusté pour éviter les périodes de reproduction.",Tous aléas climatiques,Solutions fondées sur la nature,CAPEX majoritaire > court terme,80 000 €,3,2,Court terme,4,Non,Non
Gestion intégrée des eaux pluviales,"Aménagement de noues, jardins de pluie et revêtements perméables pour retenir l’eau d’orage au plus près des bâtiments avant rejet.",Fortes pluies/ Inondation pluie/ Inondation fluviale/ Inondation nappe,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Protéger les habitats naturels pendant les chantiers,"Balisage des zones à éviter, mise en défens des habitats sensibles et briefing des entreprises avant travaux. Les espèces et milieux naturels sont protégés pendant le chantier.",Tous aléas climatiques,Solutions fondées sur la nature,CAPEX majoritaire > court terme,80 000 €,3,2,Court terme,6,Non,Non
Mettre en œuvre des actions sans regret pour la santé et la qualité,"Plantation d’arbres d’ombrage près des zones d’attente, choix de revêtements clairs et création de points d’eau pour les usagers. La santé des personnes et la qualité des produits sensibles à la chaleur sont mieux protégées.",Tous aléas climatiques,Solutions fondées sur la nature,CAPEX majoritaire > court terme,250 000 €,10,3,Court terme,8,Non,Non
Orienter le bâtiment et les espaces,Positionnement des façades les plus vitrées au nord et création de circulations extérieures ombragées côté sud-ouest. Le bâtiment reçoit moins de soleil direct aux heures les plus chaudes et reste plus confortable.,Tempêtes/ Vague de chaleur/ Chaleur extrême/ Modif T° air/ RGA/ Stress Hydrique/ Inondation fluviale/ Inondation pluie/ Inondation nappe,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,0,Non,Non
Organiser une plantation citoyenne d’arbres et d’arbustes locaux,"Organisation d’une matinée de plantation avec riverains et salariés pour installer des arbustes locaux, pailler les pieds et expliquer l’entretien. Les participants s’approprient les nouveaux espaces et limitent les dégradations.",Vague de chaleur/ Chaleur extrême/ Modif T° air/ Tempêtes/ Stress Hydrique/ Fortes pluies/ Inondation pluie,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,3,Non,Non
Aménager des zones d’expansion des crues,"Aménagement de prairies, bassins ouverts ou terrains agricoles capables de recevoir temporairement les crues. L’eau déborde dans des espaces prévus plutôt que dans les zones habitées.",Fortes pluies/ Inondation fluviale/ Inondation pluie,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,0,Non,Non
Choix d'essences végétales adaptées au futur climat local,"Sélection de chênes verts, érables de Montpellier ou essences locales résistantes selon les projections de chaleur et de déficit hydrique.",Vague de chaleur/ Chaleur extrême/ Stress Hydrique/ Modif T° air,Solutions fondées sur la nature,Section par défaut,30 000 €,1,1,Moyen terme,6,Non,Non
"Végétaliser murs, toitures et voiries","Végétalisation d’un mur exposé au soleil, d’une toiture plate et d’un cheminement minéral très chaud. Les surfaces accumulent moins de chaleur et retiennent une partie de l’eau de pluie.",Vague de chaleur/ Chaleur extrême/ Fortes pluies/ Inondation pluie/ Tempêtes,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
