Titre de l’action d’adaptation,Exemple,Aléa climatique visé,Catégorie ressources,Catégorie entreprise,Prix,Prix crédit,Temps,Score
Concevoir les trames vertes et bleues comme infrastructures de rafraîchissement,"Plantation d’arbres d’ombrage, création de massifs végétalisés et choix d’essences capables de supporter le climat futur local. Les cheminements et façades exposés restent plus frais, ce qui réduit l’inconfort pendant les fortes chaleurs.",Vague de chaleur; Chaleur extrême; Modif T° air; Fortes pluies; Inondation pluie; Tempêtes; Stress Hydrique; Inondation fluviale,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Désimperméabiliser et renaturer les sols,"Transformation d’un parking bitumé en revêtement perméable, avec noues végétalisées et fosses de plantation. L’eau s’infiltre directement sur site, les réseaux débordent moins lors des pluies intenses et le sol restitue moins de chaleur en été.",Fortes pluies; Inondation pluie; Inondation fluviale; Inondation nappe; Vague de chaleur; Chaleur extrême; Stress Hydrique,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Gérer durablement les eaux pluviales,"Création de noues, bassins d’infiltration et cuves de récupération au pied des bâtiments. Les pluies intenses sont absorbées progressivement, les abords restent praticables et une réserve d’eau peut servir à l’arrosage en période sèche.",Fortes pluies; Inondation pluie; Inondation fluviale; Inondation nappe; Stress Hydrique; Vague de chaleur; Chaleur extrême; Non listé: feu,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Préserver et restaurer les continuités écologiques,"Conservation d’une zone refuge non tondue, plantation de haies locales et liaison entre deux espaces verts par un corridor écologique. Les espèces trouvent des abris et peuvent se déplacer malgré la chaleur, la sécheresse ou les travaux sur le site.",Vague de chaleur; Chaleur extrême; Stress Hydrique; Fortes pluies; Inondation pluie; Inondation fluviale; Modif T° air; Biodiversité,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Libre évolution des friches en espaces boisés,"Conservation d’une zone refuge non tondue, plantation de haies locales et liaison entre deux espaces verts par un corridor écologique. Les espèces trouvent des abris et peuvent se déplacer malgré la chaleur, la sécheresse ou les travaux sur le site.",Vague de chaleur; Chaleur extrême; Fortes pluies; Inondation pluie; Stress Hydrique; Modif T° air,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Conservation des habitats existants pour la biodiversité,"Conservation d’une zone refuge non tondue, plantation de haies locales et liaison entre deux espaces verts par un corridor écologique. Les espèces trouvent des abris et peuvent se déplacer malgré la chaleur, la sécheresse ou les travaux sur le site.",Vague de chaleur; Chaleur extrême; Stress Hydrique; Tempêtes; Érosion de la biodiversité,Solutions fondées sur la nature,OPEX majoritaire > main d’œuvre,250 000 €,10,Moyen terme,6
Application de la séquence ERC,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",Fortes pluies; Inondation fluviale; Inondation nappe; Inondation pluie; Modif T° air; RGA; Stress Hydrique; Chaleur extrême; Tempêtes; Vague de chaleur; Vague de gel,Organisationnelles,Section par défaut,50 000 €,2,Long terme,0
Diversification des espèces plantées,"Conservation d’une zone refuge non tondue, plantation de haies locales et liaison entre deux espaces verts par un corridor écologique. Les espèces trouvent des abris et peuvent se déplacer malgré la chaleur, la sécheresse ou les travaux sur le site.",Modif T° air; Vague de chaleur; Chaleur extrême; Stress Hydrique; Vague de gel; RGA,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Programmer un équipement sportif adapté au climat futur,"Rénovation d’un bâtiment prioritaire avec isolation renforcée, protections solaires, ventilation nocturne et vérification des seuils d’inondation au rez-de-chaussée. Les occupants restent protégés et les activités essentielles peuvent continuer pendant les épisodes climatiques extrêmes.",Modif T° air; Vague de chaleur; Chaleur extrême; Stress Hydrique; Vague de gel; RGA; Fortes pluies; Inondation pluie,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,0
Préservation des connectivités écologiques,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Fortes pluies; Inondation pluie; Modif T° air; Stress Hydrique; Vague de chaleur; Tempêtes,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
