Titre de l’action d’adaptation,Exemple,Aléa climatique visé,Catégorie ressources,Catégorie entreprise,Prix,Prix crédit,Crédit normalisé,Temps,Score,Véhicules,Machines
Protéger les accès des infrastructures contre les entrées d’eau,"Rehausser les seuils, installer des batardeaux amovibles et étanchéifier les accès bas d’une gare, d’un dépôt ou d’un local technique exposé. La conception des nouveaux accès tient aussi compte des niveaux d’eau futurs afin d’éviter l’entrée d’eau dans les équipements essentiels.",Inondation,Technique,CAPEX majoritaire > long terme,50 000 €,0,2,Moyen terme,0,Non,Non
Renforcer le drainage et le pompage des sites de transport,Redimensionner les avaloirs et caniveaux d’un dépôt de bus et ajouter des pompes de relevage avec alimentation de secours sur les points bas. Les eaux d’un épisode pluvieux intense sont évacuées avant d’endommager les ateliers ou les équipements électriques.,Inondation,Technique,CAPEX majoritaire > long terme,80 000 €,0,2,Moyen terme,0,Non,Non
Adapter les rails et caténaires aux fortes chaleurs,"Lors du renouvellement de voie ou de caténaire, choisir des composants et des réglages moins sensibles aux efforts mécaniques et thermiques et les dimensionner pour les températures futures. Le risque de déformation, de rupture ou de ralentissement pendant les pics de chaleur diminue.",Pic et vague de chaleur,Technique,CAPEX majoritaire > long terme,250 000 €,0,3,Long terme,0,Non,Non
Appliquer un traitement réfléchissant sur les éléments ferroviaires sensibles,"Appliquer une peinture ou un traitement clair sur les zones ferroviaires identifiées comme les plus sensibles à l’échauffement. La température de surface et la dilatation diminuent, avec un besoin de maintenance potentiellement réduit.",Pic et vague de chaleur,Technique,CAPEX majoritaire > long terme,30 000 €,0,1,Court terme,0,Non,Non
Utiliser des revêtements de voirie limitant la surchauffe,"Tester puis déployer sur une voie de bus, une chaussée ou une piste cyclable un revêtement dit « sans surchauffe ». Le choix est validé sur la température de surface, l’adhérence, la durabilité et le bruit afin de rechercher à la fois confort d’été et co-bénéfices acoustiques.",Pic et vague de chaleur,Technique,CAPEX majoritaire > long terme,80 000 €,0,2,Moyen terme,8,Non,Non
Créer des tunnels ou couloirs hors terre climatisés pour les mobilités actives,"Construire des tunnels ou couloirs hors terre fermés et climatisés pour permettre la marche, la course ou le vélo pendant les fortes chaleurs. Le confort est amélioré à court terme, mais la solution crée une forte consommation énergétique, des besoins de maintenance et une dépendance durable au refroidissement actif : elle constitue une maladaptation à long terme.",Pic et vague de chaleur,Technique,CAPEX majoritaire > long terme,250 000 €,0,3,Moyen terme,9,Non,Non
Créer des chaussées et parkings perméables à structure réservoir,"Créer une chaussée perméable avec revêtement poreux et structure réservoir, et aménager les parkings avec un système multicouche drainant. L’eau est temporairement stockée, filtrée puis infiltrée ou évacuée à débit limité, ce qui réduit le ruissellement lors des pluies intenses.",Inondation,Technique,CAPEX majoritaire > long terme,250 000 €,0,3,Long terme,8,Non,Non
Renforcer les chaussées exposées au retrait-gonflement des argiles,"Sur un tronçon présentant des fissures longitudinales récurrentes, réaliser un diagnostic géotechnique puis renforcer la structure de chaussée avec une solution adaptée, par exemple une géogrille ou un traitement du sol. La remontée des fissures et les tassements différentiels sont ralentis.",RGA,Technique,CAPEX majoritaire > long terme,250 000 €,0,3,Long terme,0,Non,Non
Piloter la climatisation du matériel roulant à partir de données prédictives,"Utiliser les données météo, d’occupation et de température intérieure pour piloter automatiquement le refroidissement des trains ou bus. Un algorithme anticipe le besoin de rafraîchissement afin de maintenir le confort tout en limitant la consommation d’énergie.",Pic et vague de chaleur,Technique,CAPEX majoritaire > long terme,50 000 €,0,2,Court terme,8,Oui,Non
Réduire l’échauffement du matériel roulant par l’enveloppe et la ventilation,Réduire l’échauffement des rames ou bus grâce à une enveloppe claire et à une ventilation réfrigérée qui rafraîchit l’air avant sa réinjection. La dépendance à une climatisation classique est réduite tout en maintenant le confort thermique des voyageurs.,Pic et vague de chaleur,Technique,CAPEX majoritaire > long terme,50 000 €,0,2,Moyen terme,8,Oui,Non
