Titre de l’action d’adaptation,Exemple,Aléa climatique visé,Catégorie ressources,Catégorie entreprise,Prix,Prix crédit,Crédit normalisé,Temps,Score,Véhicules,Machines
Privilégier les actions multi-bénéfices,"Choix de solutions qui rafraîchissent, infiltrent l’eau, améliorent la biodiversité et créent des usages sociaux en même temps. Chaque euro investi produit plusieurs bénéfices pour le territoire.",Tous aléas climatiques,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,8,Non,Non
Protéger les habitats naturels pendant les chantiers,"Balisage des zones à éviter, mise en défens des habitats sensibles et briefing des entreprises avant travaux. Les espèces et milieux naturels sont protégés pendant le chantier.",Tous aléas climatiques,Solutions fondées sur la nature,CAPEX majoritaire > court terme,80 000 €,3,2,Court terme,6,Non,Non
Diversification des espèces plantées,"Association de chênes, érables champêtres, fruitiers rustiques, arbustes mellifères et couvre-sols adaptés au sol local. Si une espèce souffre de la sécheresse ou d’un parasite, les autres maintiennent l’ombrage et la biodiversité.",Modif T° air/ Vague de chaleur/ Chaleur extrême/ Stress Hydrique/ Vague de gel/ RGA,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Diagnostic écologique quatre saisons,"Réalisation de quatre passages terrain au printemps, en été, en automne et en hiver pour recenser flore, oiseaux, amphibiens et chauves-souris. Le calendrier de travaux est ensuite ajusté pour éviter les périodes de reproduction.",Tous aléas climatiques,Solutions fondées sur la nature,CAPEX majoritaire > court terme,80 000 €,3,2,Court terme,4,Non,Non
Orienter le bâtiment et les espaces,Positionnement des façades les plus vitrées au nord et création de circulations extérieures ombragées côté sud-ouest. Le bâtiment reçoit moins de soleil direct aux heures les plus chaudes et reste plus confortable.,Tempêtes/ Vague de chaleur/ Chaleur extrême/ Modif T° air/ RGA/ Stress Hydrique/ Inondation fluviale/ Inondation pluie/ Inondation nappe,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,0,Non,Non
Adapter la végétation et les espaces verts,"Remplacement progressif de massifs gourmands en eau par des arbustes résistants à la sécheresse, du paillage et des zones d’ombre. L’entretien diminue tout en améliorant le confort thermique des abords.",Vague de chaleur/ Chaleur extrême/ Modif T° air/ Vague de gel/ RGA/ Stress Hydrique/ Tempêtes/ Inondation fluviale/ Inondation pluie/ Inondation nappe,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Construire un schéma directeur de renaturation,"Élaboration d’un schéma directeur identifiant les cours, parkings, berges et toitures à renaturer en priorité. Les projets végétalisés sont coordonnés au lieu d’être réalisés au coup par coup.",Inondation fluviale/ Fortes pluies/ Stress Hydrique/ Modif T° air/ Chaleur extrême,Solutions fondées sur la nature,Capital humain,250 000 €,10,3,Long terme,6,Non,Non
Restaurer le fonctionnement naturel des cours d’eau,"Retrait d’un enrochement trop rigide, reméandrage léger du lit et restauration d’une ripisylve avec saules et aulnes. Le cours d’eau retrouve de l’espace pour déborder sans aggraver les dégâts en aval.",Fortes pluies/ Inondation fluviale/ Inondation pluie/ Inondation nappe/ Stress Hydrique/ Tempêtes/ Submersion marine/ Vague de chaleur/ Chaleur extrême,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Préserver et restaurer les continuités écologiques,"Maintien d’une haie ancienne, création d’une bande herbacée non fauchée et ouverture d’un passage végétalisé entre deux parcelles. Les insectes, oiseaux et petits mammifères peuvent traverser le site malgré les clôtures.",Vague de chaleur/ Chaleur extrême/ Stress Hydrique/ Fortes pluies/ Inondation pluie/ Inondation fluviale/ Modif T° air,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Concevoir un écoquartier avec gestion intégrée des eaux,"Conception d’un écoquartier avec chaussées drainantes, jardins de pluie, récupération des eaux de toiture et règles d’entretien partagées.",Fortes pluies/ Inondation pluie/ Inondation fluviale/ Vague de chaleur/ Chaleur extrême,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
