Titre de l’action d’adaptation,Exemple,Aléa climatique visé,Catégorie ressources,Catégorie entreprise,Prix,Prix crédit,Temps,Score
Concevoir les trames vertes et bleues comme infrastructures de rafraîchissement,"Plantation d’arbres d’ombrage, création de massifs végétalisés et choix d’essences capables de supporter le climat futur local. Les cheminements et façades exposés restent plus frais, ce qui réduit l’inconfort pendant les fortes chaleurs.",Vague de chaleur; Chaleur extrême; Modif T° air; Fortes pluies; Inondation pluie; Tempêtes; Stress Hydrique; Inondation fluviale,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Désimperméabiliser et renaturer les sols,"Transformation d’un parking bitumé en revêtement perméable, avec noues végétalisées et fosses de plantation. L’eau s’infiltre directement sur site, les réseaux débordent moins lors des pluies intenses et le sol restitue moins de chaleur en été.",Fortes pluies; Inondation pluie; Inondation fluviale; Inondation nappe; Vague de chaleur; Chaleur extrême; Stress Hydrique,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Gérer durablement les eaux pluviales,"Création de noues, bassins d’infiltration et cuves de récupération au pied des bâtiments. Les pluies intenses sont absorbées progressivement, les abords restent praticables et une réserve d’eau peut servir à l’arrosage en période sèche.",Fortes pluies; Inondation pluie; Inondation fluviale; Inondation nappe; Stress Hydrique; Vague de chaleur; Chaleur extrême; Non listé: feu,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Préserver et restaurer les continuités écologiques,"Conservation d’une zone refuge non tondue, plantation de haies locales et liaison entre deux espaces verts par un corridor écologique. Les espèces trouvent des abris et peuvent se déplacer malgré la chaleur, la sécheresse ou les travaux sur le site.",Vague de chaleur; Chaleur extrême; Stress Hydrique; Fortes pluies; Inondation pluie; Inondation fluviale; Modif T° air; Biodiversité,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Libre évolution des friches en espaces boisés,"Conservation d’une zone refuge non tondue, plantation de haies locales et liaison entre deux espaces verts par un corridor écologique. Les espèces trouvent des abris et peuvent se déplacer malgré la chaleur, la sécheresse ou les travaux sur le site.",Vague de chaleur; Chaleur extrême; Fortes pluies; Inondation pluie; Stress Hydrique; Modif T° air,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Conservation et restauration des habitats existants,"Conservation d’une zone refuge non tondue, plantation de haies locales et liaison entre deux espaces verts par un corridor écologique. Les espèces trouvent des abris et peuvent se déplacer malgré la chaleur, la sécheresse ou les travaux sur le site.",Tempêtes; Fortes pluies; Inondation fluviale; Inondation pluie; Vague de chaleur; Stress Hydrique; Submersion marine; Biodiversité,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Application de la séquence ERC,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",Fortes pluies; Inondation fluviale; Inondation nappe; Inondation pluie; Modif T° air; RGA; Stress Hydrique; Chaleur extrême; Tempêtes; Vague de chaleur; Vague de gel,Organisationnelles,Section par défaut,50 000 €,2,Long terme,6
Diversification des espèces plantées,"Conservation d’une zone refuge non tondue, plantation de haies locales et liaison entre deux espaces verts par un corridor écologique. Les espèces trouvent des abris et peuvent se déplacer malgré la chaleur, la sécheresse ou les travaux sur le site.",Modif T° air; Vague de chaleur; Chaleur extrême; Stress Hydrique; Vague de gel; RGA,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Programmer un équipement sportif adapté au climat futur,"Rénovation d’un bâtiment prioritaire avec isolation renforcée, protections solaires, ventilation nocturne et vérification des seuils d’inondation au rez-de-chaussée. Les occupants restent protégés et les activités essentielles peuvent continuer pendant les épisodes climatiques extrêmes.",Modif T° air; Vague de chaleur; Chaleur extrême; Stress Hydrique; Vague de gel; RGA; Fortes pluies; Inondation pluie,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Préservation des connectivités écologiques,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Fortes pluies; Inondation pluie; Modif T° air; Stress Hydrique; Vague de chaleur; Tempêtes,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Diagnostic écologique quatre saisons,"Actualisation annuelle d’une cartographie des sites exposés, en intégrant les dernières projections climatiques et les incidents déjà observés. Les bâtiments, fournisseurs et équipements les plus vulnérables sont priorisés avant les prochaines fortes chaleurs ou inondations.",Fortes pluies; Inondation fluviale; Inondation nappe; Inondation pluie; Modif T° air; RGA; Stress Hydrique; Chaleur extrême; Tempêtes; Vague de chaleur; Vague de gel,Fondées sur la nature,CAPEX majoritaire > court terme,80 000 €,3,Court terme,6
Mobilisation précoce d’un écologue,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",Fortes pluies; Inondation pluie; Modif T° air; Stress Hydrique; Vague de chaleur; Tempêtes,Organisationnelles,OPEX main d’œuvre,15 000 €,1,Court terme,3
Mobilisation d’un paysagiste,"Formation courte des équipes exposées, avec consignes opérationnelles et exercice pratique sur site. Les personnes savent adapter leurs horaires, leurs déplacements et leurs gestes lors des fortes chaleurs.",Modif T° air; Vague de chaleur; Chaleur extrême; Stress Hydrique; Tempêtes,Ressources humaines,OPEX majoritaire > main d’œuvre,15 000 €,1,Court terme,6
Création et diversification d’espaces naturels,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Vague de chaleur; Chaleur extrême; Fortes pluies; Inondation pluie; Stress Hydrique; Biodiversité,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Choix d’essences locales et diversifiées,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Modif T° air; Vague de chaleur; Chaleur extrême; Stress Hydrique; Vague de gel,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Adapter la végétation et les espaces verts,"Remplacement de l’entretien intensif par une gestion différenciée : fauche tardive, paillage, compost local et réduction des produits chimiques. Les sols retiennent mieux l’eau, la végétation résiste davantage aux sécheresses et la biodiversité augmente.",Vague de chaleur; Chaleur extrême; Modif T° air; Vague de gel; RGA; Stress Hydrique; Tempêtes; Inondation fluviale; Inondation pluie; Inondation nappe; Non listé: feu; Biodiversité,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Création de passages pour la faune,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Modif T° air; Fortes pluies; Inondation pluie,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Développer des toitures végétalisées,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Vague de chaleur; Chaleur extrême; Fortes pluies; Inondation pluie,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Organiser une plantation citoyenne d’arbres et d’arbustes locaux,"Plantation d’arbres d’ombrage, création de massifs végétalisés et choix d’essences capables de supporter le climat futur local. Les cheminements et façades exposés restent plus frais, ce qui réduit l’inconfort pendant les fortes chaleurs.",Vague de chaleur; Chaleur extrême; Modif T° air; Tempêtes; Stress Hydrique; Fortes pluies; Inondation pluie,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Orienter le bâtiment et les espaces,"Rénovation d’un bâtiment prioritaire avec isolation renforcée, protections solaires, ventilation nocturne et vérification des seuils d’inondation au rez-de-chaussée. Les occupants restent protégés et les activités essentielles peuvent continuer pendant les épisodes climatiques extrêmes.",Tempêtes; Vague de chaleur; Chaleur extrême; Modif T° air; RGA; Stress Hydrique; Inondation fluviale; Inondation pluie; Inondation nappe; Non listé: feu,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Végétaliser la façade,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Vague de chaleur; Chaleur extrême; Modif T° air; Stress Hydrique; Inondation fluviale; Inondation pluie; Inondation nappe; Fortes pluies,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Jardins de pluie et parcelles éponges,"Transformation d’un parking bitumé en revêtement perméable, avec noues végétalisées et fosses de plantation. L’eau s’infiltre directement sur site, les réseaux débordent moins lors des pluies intenses et le sol restitue moins de chaleur en été.",Fortes pluies; Inondation pluie; Inondation fluviale; Inondation nappe; Stress Hydrique,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Noues à biefs indépendants en pente,"Création de noues, bassins d’infiltration et cuves de récupération au pied des bâtiments. Les pluies intenses sont absorbées progressivement, les abords restent praticables et une réserve d’eau peut servir à l’arrosage en période sèche.",Fortes pluies; Inondation pluie; Inondation fluviale,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Conservation des eaux en surface,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes pluies et inondations perturbent le site.",Fortes pluies; Inondation pluie; Inondation fluviale; Stress Hydrique,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,2
Restaurer le fonctionnement naturel des cours d’eau,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Fortes pluies; Inondation fluviale; Inondation pluie; Inondation nappe; Stress Hydrique; Tempêtes; Submersion marine; Vague de chaleur; Chaleur extrême,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Réduire les consommations d’eau,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les sécheresse perturbent le site.",Vague de chaleur; Chaleur extrême; Fortes pluies; Inondation pluie; Stress Hydrique; Modif T° air; Feux de forêt,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Phasage du chantier selon les rythmes biologiques,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Modif T° air; Fortes pluies; Vague de chaleur; Tempêtes; Biodiversité,Fondées sur la nature,CAPEX majoritaire > court terme,80 000 €,3,Court terme,6
Désimperméabiliser des berges,"Transformation d’un parking bitumé en revêtement perméable, avec noues végétalisées et fosses de plantation. L’eau s’infiltre directement sur site, les réseaux débordent moins lors des pluies intenses et le sol restitue moins de chaleur en été.",Modif T° air; Vague de chaleur; Fortes pluies; Inondation pluie; Inondation fluviale; Inondation nappe,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Protection de la végétation et des arbres remarquables,"Plantation d’arbres d’ombrage, création de massifs végétalisés et choix d’essences capables de supporter le climat futur local. Les cheminements et façades exposés restent plus frais, ce qui réduit l’inconfort pendant les fortes chaleurs.",Tempêtes; Vague de chaleur; Stress Hydrique; Modif T° air,Technique,OPEX majoritaire > main d’œuvre,250 000 €,10,Moyen terme,6
Protection des sols pendant le chantier,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes pluies et inondations perturbent le site.",Fortes pluies; Inondation pluie; Inondation fluviale; Stress Hydrique,Technique,OPEX majoritaire > main d’œuvre,50 000 €,2,Long terme,6
Améliorer la ventilation et le rafraîchissement passif,"Installation d’ouvrants sécurisés, de brasseurs d’air et de protections solaires extérieures dans les salles les plus exposées. Les locaux restent utilisables plus longtemps pendant les pics de chaleur, avec moins de dépendance à la climatisation.",Stress Hydrique; Fortes pluies; Modif T° air; Submersion marine; Tempêtes; Inondation fluviale,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Conservation de la terre végétale excédentaire,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes pluies et inondations.",Stress Hydrique; Fortes pluies; Inondation pluie,Fondées sur la nature,OPEX majoritaire > main d’œuvre,80 000 €,3,Moyen terme,6
Analyser l’exposition climatique de la chaîne d’approvisionnement,"Actualisation annuelle d’une cartographie des sites exposés, en intégrant les dernières projections climatiques et les incidents déjà observés. Les bâtiments, fournisseurs et équipements les plus vulnérables sont priorisés avant les prochaines fortes chaleurs ou inondations.",Modif T° air; Stress Hydrique; Vague de chaleur; Fortes pluies; Inondation fluviale; Inondation nappe; Inondation pluie; RGA; Chaleur extrême; Tempêtes; Vague de gel,Fondées sur la nature,OPEX main d’œuvre,80 000 €,3,Long terme,6
Développer la gestion naturaliste des espaces végétalisés,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Vague de chaleur; Chaleur extrême; Modif T° air; Biodiversité; Stress Hydrique,Fondées sur la nature,OPEX main d’œuvre,80 000 €,3,Long terme,6
Libre évolution et taille raisonnée,"Conservation d’une zone refuge non tondue, plantation de haies locales et liaison entre deux espaces verts par un corridor écologique. Les espèces trouvent des abris et peuvent se déplacer malgré la chaleur, la sécheresse ou les travaux sur le site.",Vague de chaleur; Chaleur extrême; Stress Hydrique; Modif T° air,Fondées sur la nature,OPEX majoritaire > main d’œuvre,80 000 €,3,Moyen terme,6
Entretenir les espaces extérieurs de montagne,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Vague de chaleur; Chaleur extrême; Stress Hydrique; Feux de forêt; Enneigement; Mouvements de terrain,Fondées sur la nature,OPEX main d’œuvre,80 000 €,3,Long terme,6
Réduction des intrants d’entretien,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",Stress Hydrique; Modif T° air; Vague de chaleur,Organisationnelles,OPEX majoritaire > main d’œuvre,15 000 €,1,Moyen terme,0
Renaturation par régénération spontanée,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Vague de chaleur; Chaleur extrême; Stress Hydrique; Fortes pluies; Inondation pluie,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
